Participant,NewsMeasure,Sample,Ratings_M,Ratings_Scored,SocialJetlag_ABS,SocialJetlag_ABS_Binned,Chronotype,SleepDurationAvg,SleepDurationAvg_Binned,SampleCoded,CRT,HL,Age,Edu,Gender,NewsType,NewsDomain,NewsTypeCoded,NewsDomainCoded,GenderCoded,Pct_Confidently_Correct,Pct_Unconfidently_Correct,Pct_Confidently_Incorrect,Pct_Unconfidently_Incorrect
333,Fake-Covid,Conservative,0,1,0,'0-1,25.5,7,'7-8,0.5,4,6,42,6,Male,Fake,Covid,-0.5,-0.5,0.5,100,0,0,0
333,Fake-The Big Lie,Conservative,3.333333333,0.933333333,0,'0-1,25.5,7,'7-8,0.5,4,6,42,6,Male,Fake,TBL,-0.5,0.5,0.5,93.33333333,0,0,6.666666667
333,Real-Covid,Conservative,60,0.6,0,'0-1,25.5,7,'7-8,0.5,4,6,42,6,Male,Real,Covid,0.5,-0.5,0.5,60,0,40,0
333,Real-The Big Lie,Conservative,86.66666667,0.866666667,0,'0-1,25.5,7,'7-8,0.5,4,6,42,6,Male,Real,TBL,0.5,0.5,0.5,86.66666667,0,13.33333333,0
334,Fake-Covid,Conservative,26.86666667,0.866666667,0.5,'0-1,27.85714286,4.714285714,'4-6,0.5,4,6,57,7,Male,Fake,Covid,-0.5,-0.5,0.5,53.33333333,33.33333333,13.33333333,0
334,Fake-The Big Lie,Conservative,29.13333333,0.733333333,0.5,'0-1,27.85714286,4.714285714,'4-6,0.5,4,6,57,7,Male,Fake,TBL,-0.5,0.5,0.5,46.66666667,26.66666667,6.666666667,20
334,Real-Covid,Conservative,57.33333333,0.466666667,0.5,'0-1,27.85714286,4.714285714,'4-6,0.5,4,6,57,7,Male,Real,Covid,0.5,-0.5,0.5,40,6.666666667,20,33.33333333
334,Real-The Big Lie,Conservative,45.86666667,0.333333333,0.5,'0-1,27.85714286,4.714285714,'4-6,0.5,4,6,57,7,Male,Real,TBL,0.5,0.5,0.5,33.33333333,0,26.66666667,40
335,Fake-Covid,Conservative,36.33333333,0.666666667,2.5,'2-3,23.64285714,8.285714286,'8-9,0.5,3,6,32,5,Male,Fake,Covid,-0.5,-0.5,0.5,53.33333333,13.33333333,26.66666667,6.666666667
335,Fake-The Big Lie,Conservative,47.73333333,0.533333333,2.5,'2-3,23.64285714,8.285714286,'8-9,0.5,3,6,32,5,Male,Fake,TBL,-0.5,0.5,0.5,20,33.33333333,26.66666667,20
335,Real-Covid,Conservative,46.66666667,0.333333333,2.5,'2-3,23.64285714,8.285714286,'8-9,0.5,3,6,32,5,Male,Real,Covid,0.5,-0.5,0.5,20,13.33333333,26.66666667,40
335,Real-The Big Lie,Conservative,39.73333333,0.133333333,2.5,'2-3,23.64285714,8.285714286,'8-9,0.5,3,6,32,5,Male,Real,TBL,0.5,0.5,0.5,13.33333333,0,53.33333333,33.33333333
336,Fake-Covid,Conservative,61.2,0.4,1.4,'1-2,24.29285714,5.785714286,'4-6,0.5,2,4,37,7,Male,Fake,Covid,-0.5,-0.5,0.5,26.66666667,13.33333333,60,0
336,Fake-The Big Lie,Conservative,86.66666667,0.133333333,1.4,'1-2,24.29285714,5.785714286,'4-6,0.5,2,4,37,7,Male,Fake,TBL,-0.5,0.5,0.5,6.666666667,6.666666667,86.66666667,0
336,Real-Covid,Conservative,64.73333333,0.6,1.4,'1-2,24.29285714,5.785714286,'4-6,0.5,2,4,37,7,Male,Real,Covid,0.5,-0.5,0.5,60,0,33.33333333,6.666666667
